2.4698	102.39217
2.4698	102.39225
2.46973	102.39221
2.46973	102.39229
2.4698	102.39232
2.46973	102.39236
2.46966	102.3924
2.46966	102.39233
2.46966	102.39225
2.4696	102.39229
2.4696	102.39237
2.4696	102.39244
2.46953	102.39248
2.46953	102.3924
2.46954	102.39233
2.46947	102.39237
2.46947	102.39244
2.46947	102.39252
2.4694	102.39256
2.4694	102.39248
2.4694	102.39241
2.46934	102.39244
2.46933	102.39252
2.46934	102.3926
2.46927	102.39249
2.46934	102.39267
2.4694	102.39271
2.4694	102.39264
2.46947	102.39267
2.46947	102.3926
2.46953	102.39256
2.46953	102.39264
2.4696	102.39252
2.4696	102.3926
2.46966	102.39248
2.46967	102.39256
2.46973	102.39252
2.46973	102.39244
2.4698	102.3924
2.4698	102.39248
2.46947	102.39275
2.4698	102.39255
2.4698	102.39263
2.46973	102.39282
2.46973	102.39275
2.46973	102.39267
2.46973	102.39259
2.46967	102.39263
2.46967	102.39271
2.46967	102.39278
2.46967	102.39286
2.4696	102.3929
2.4696	102.39282
2.4696	102.39275
2.4696	102.39267
2.46953	102.39271
2.46953	102.39279
2.46953	102.39286
2.46953	102.39294
2.46947	102.39298
2.46947	102.3929
2.46947	102.39283
2.4694	102.39279
2.4694	102.39286
2.4694	102.39294
2.46973	102.3929
2.46973	102.39298
2.46966	102.39294
2.46966	102.39301

